,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
296,복수는 나의 것,2002-03-28,312000.0,312000.0,52.0,52.0,1.0,4.0,한국,CJ ENM,18세관람가,"범죄,스릴러",박찬욱,"신하균,송강호,배두나,최아라,한보배,문금영,윤명오,이윤미,이정욱,이대연,신정근,기주봉,이금희,지대한,이칸희"
297,반지의 제왕 : 두개의 탑,2002-12-19,84000.0,84000.0,42.0,42.0,1.0,4.0,미국,"워너브러더스 코리아(주),(주)시네마서비스",12세관람가,"액션,어드벤처,판타지",피터 잭슨,"일라이저 우드,이안 맥켈런,비고 모텐슨,숀 애스틴,리브 타일러,올랜도 블룸,숀 빈,빌리 보이드,케이트 블란쳇,휴고 위빙"
298,정사2,,218500.0,218500.0,39.0,39.0,1.0,21.0,핀란드,,18세관람가,멜로/로맨스,미나 비르타넨,"미 그론룬드,닉케 리그넬"
299,선택,2003-10-24,128000.0,128000.0,32.0,32.0,1.0,13.0,한국,영화사청어람(주),15세관람가,드라마,홍기선,"김종철,김중기,안석환,신범수,조용득,조우영,김동진,박형진,이정희,한남규,강성삼,최백락,김태민,정철호,이지상,이현주,손병호,최일화,박충선,장희철,권태원,주부진,우광훈"
300,여섯 개의 시선,2003-11-14,186000.0,186000.0,31.0,31.0,1.0,3.0,한국,영화사청어람(주),12세관람가,드라마,"여균동,정재은,임순례,박찬욱,박진표","이설희,백종학,변정수,김보현,주진모,지진희,한은지,오달수,강경윤,김현수,길해연,정인겸"
301,음양사2,2004-06-25,201500.0,201500.0,31.0,31.0,1.0,1.0,일본,(주)아펙스 엔터테인먼트,15세관람가,사극,타키타 요지로,"후카다 쿄코,노무라 만사이"
302,미소,2004-02-13,128000.0,128000.0,26.0,26.0,1.0,3.0,한국,미소필름,15세관람가,드라마,박경희,"추상미,조성하,송일곤,김수진,김은영,진경,손원평,송상석,김효정,최형락,유혜숙,오승욱,양희정,이찬호,이일호,장민호,손병호,이찬호,최정열,김수진"
303,스페니쉬 아파트먼트,2004-01-01,100000.0,100000.0,25.0,25.0,1.0,3.0,스페인,이십세기폭스필름코퍼레이션,15세관람가,코미디,세드릭 클래피쉬,"주디스 고드레쉬,로맹 뒤리스"
304,3인조,1997-05-24,120000.0,120000.0,20.0,20.0,1.0,4.0,한국,,연소자관람불가,"액션,코미디",박찬욱,"이경영,김민종,정선경,도금봉,김부선,김성미,이인철,이기열,안길강"
305,반지의 제왕 : 반지원정대,2001-12-31,38000.0,38000.0,19.0,19.0,1.0,8.0,미국,"워너브러더스 코리아(주),(주)시네마서비스",12세관람가,드라마,피터 잭슨,"일라이저 우드,이안 맥켈런,비고 모텐슨,숀 애스틴,리브 타일러,올랜도 블룸,숀 빈,빌리 보이드,케이트 블란쳇,휴고 위빙"
306,미로,2004-11-26,105000.0,105000.0,18.0,18.0,1.0,9.0,프랑스,(주)씨네진,15세관람가,스릴러,르네 망조르,"실비 테스튀,램버트 윌슨"
307,영매-산자와 죽은자의 화해,2003-09-05,56000.0,56000.0,14.0,14.0,1.0,3.0,한국,(주)엠엔에프씨,12세관람가,다큐멘터리,박기복,"설경구,박영자,채정례,채둔굴,김두남,박진섭,이해경"
308,살인의 추억,2003-04-25,13000.0,13000.0,13.0,13.0,1.0,1.0,한국,CJ ENM,15세관람가,스릴러,봉준호,"송강호,김상경,김뢰하,정인선,한충환,김효성,이강산,김민철,최현기,심성보,김희진,한성근,서민수,김경래,강진희,이상욱,윤박지,박상우,박소현,김철용,김영관,류태호,박노식,박진우,변희봉,서영화,신현종,조덕제,이재응,유승목,손진호,신동환,최종률,손강국,박현영,권병길,신문성,염혜란,전미선,최교식,곽수정,천명재"
309,펀치 드렁크 러브,2003-05-08,52000.0,52000.0,13.0,13.0,1.0,3.0,미국,콜럼비아트라이스타,15세관람가,"멜로/로맨스,코미디",폴 토마스 앤더슨,"아담 샌들러,에밀리 왓슨"
310,웰컴 프레지던트,,76000.0,76000.0,11.0,11.0,1.0,5.0,미국,,12세관람가,코미디,도널드 페트리,레이 로마노
311,로드무비,2002-10-17,70000.0,70000.0,10.0,10.0,1.0,5.0,한국,"(주)시네마서비스,영화사청어람(주)",18세관람가,드라마,김인식,"황정민,정찬,서린,최현석,박경환,김윤미,정석원,김광태,정석원,이재응,한기중,손진호,김기천"
312,햄릿 2000,,70000.0,70000.0,10.0,10.0,1.0,2.0,미국,,15세관람가,드라마,케네스 브래너,"에단 호크,케네스 브래너,카일 맥라클란,빌 머레이"
313,킬러들의 수다,2001-10-12,35000.0,35000.0,7.0,7.0,1.0,2.0,한국,(주)시네마서비스,15세관람가,코미디,장진,"정진영,원빈,신현준,정재영,신하균,공효진,김민교,김준석,김지영,호산,김형중,한용수,민윤정,류승범,양동재,김영웅,이정환,조덕현,김학철,윤주상"
314,디 아더스,2002-01-10,30000.0,30000.0,6.0,6.0,1.0,2.0,미국,"와이드 릴리즈(주),(주)씨네월드","12세이상관람가,전체관람가","미스터리,공포(호러)",알레한드로 아메나바르,"니콜 키드먼,알라키나 만,제임스 벤틀리"
315,아저씨 우리 결혼할까요?,2004-10-15,21000.0,21000.0,4.0,4.0,1.0,3.0,홍콩,씨네파크,12세관람가,코미디,완세생,"채탁연,정이건,오요한"
316,기브 잇 올,2004-10-14,19500.0,19500.0,3.0,3.0,1.0,2.0,일본,,전체관람가,드라마,이소무라 이츠미치,"시미즈 마미,타나카 레나"
317,어머! 물고기가 됐어요,2002-07-26,15000.0,15000.0,3.0,3.0,1.0,2.0,덴마크,시나브로엔터테인먼트(주),전체관람가,"가족,어드벤처",마이클 헤그너,"테리 존스,알란 릭맨"
318,블루베리,,13000.0,13000.0,2.0,2.0,1.0,1.0,프랑스,,18세관람가,액션,얀 쿠넹,"뱅상 카셀,줄리엣 루이스,마이클 매드슨"
319,수취인불명,2001-06-02,10000.0,10000.0,2.0,2.0,1.0,1.0,한국,(주)튜브엔터테인먼트,18세관람가,드라마,김기덕,"조재현,김영민,김진만,양동근,반민정,나혜미,김상원,전성애,이민옥,이흥욱,권남희,김정호,김준용,오정세"
320,천지영웅,2004-12-10,6000.0,6000.0,2.0,2.0,1.0,3.0,홍콩,한국소니픽쳐스릴리징브에나비스타영화㈜,15세관람가,드라마,하평,"조미,쟝 웬(강문),왕학기,강문"
321,공공의 적,2002-01-24,6500.0,6500.0,1.0,1.0,1.0,1.0,한국,(주)시네마서비스,18세관람가,"범죄,액션",강우석,"설경구,이성재,강신일,안내상,이문식,성지루,유해진,허명행,조규성,조영민,조용수,김병인,금종택,서범식,명영호,김다은,김경은,서지오,전재홍,정기성,양재성,이충희,안석환,기주봉,윤문식,김강일,이도겸,권병길,이칸희,권태원,김경룡"
322,공동경비구역 JSA,2000-09-08,6000.0,6000.0,1.0,1.0,1.0,2.0,한국,CJ ENM,15세관람가,"드라마,미스터리",박찬욱,"송강호,이병헌,이영애,신하균,김태우,김광일,이종용,이대연,김명수,이한위,기주봉,원근희"
323,금발이 너무해 2,2003-10-02,0.0,0.0,0.0,0.0,1.0,1.0,미국,이십세기폭스필름코퍼레이션,12세관람가,코미디,찰스 허먼-움펠드,"리즈 위더스푼,루크 윌슨"
324,"나를 책임져, 알피",2005-01-21,0.0,0.0,0.0,0.0,1.0,3.0,미국,UIP코리아,18세관람가,코미디,찰스 샤이어,"주드 로,마리사 토메이"
325,듀엣,,0.0,0.0,0.0,0.0,1.0,1.0,중국,,,드라마,진려,
326,스왈로우테일 버터플라이,2005-06-23,0.0,0.0,0.0,0.0,1.0,5.0,일본,(주)튜브엔터테인먼트,18세관람가,드라마,이와이 슌지,"미카미 히로시,차라,이토 아유미"
327,위험한 유혹,2002-11-14,0.0,0.0,0.0,0.0,1.0,1.0,미국,이십세기폭스필름코퍼레이션,15세관람가,스릴러,존 폴슨,"제시 브래포드,에리카 크리스틴슨"
328,주온,2003-06-27,0.0,0.0,0.0,0.0,1.0,2.0,일본,프라임픽쳐스,12세관람가,공포(호러),시미즈 다카시,"이토 미사키,오키나 메구미"
329,춤추는 대수사선,2000-07-22,0.0,0.0,0.0,0.0,1.0,4.0,일본,,12세관람가,"범죄,액션,코미디",모토히로 카츠유키,오다 유지
330,캐리비안의 해적 : 블랙펄의 저주,2003-09-05,0.0,0.0,0.0,0.0,1.0,1.0,미국,월트디즈니코리아㈜,12세관람가,"어드벤처,액션,코미디",고어 버빈스키,"조니 뎁,제프리 러쉬"
331,콜래트럴 데미지,2002-02-07,0.0,0.0,0.0,0.0,3.0,3.0,미국,워너브러더스 코리아(주),15세관람가,액션,앤드류 데이비스,아놀드 슈왈제네거
332,클래식,2003-01-30,0.0,0.0,0.0,0.0,1.0,2.0,한국,(주)시네마서비스,12세관람가,드라마,곽재용,"손예진,조승우,조인성,이기우,서영희,김미진,이성훈,추현경,송윤회,신승수,한규태,김병옥,한정근,김성증,이서,이승철,이주열,안호완"
333,투 터프 가이즈,2004-12-31,0.0,0.0,0.0,0.0,1.0,1.0,스페인,씨네파크,18세관람가,코미디,후안 마르티네즈 모레노,"엘레나 아나야,안토니오 레시네스"
334,플라스틱 트리,2003-08-29,0.0,0.0,0.0,0.0,1.0,1.0,한국,무비즈엔터테인먼트㈜,18세관람가,스릴러,어일선,"김인권,조은숙,김정현,김무진,김윤식,박정호,박주복,임헌표,변두환,강지은,박성호,김영태,김도영"
335,환생,2003-10-31,0.0,0.0,0.0,0.0,1.0,1.0,일본,시나브로엔터테인먼트(주),전체관람가,"멜로/로맨스,드라마",시오타 아키히코,"쿠사나기 츠요시,다케우치 유코"
336,괴물,2006-07-27,66715713300.0,66715713300.0,10917153.0,10917153.0,647.0,113073.0,한국,(주)쇼박스,12세관람가,"SF,가족,드라마",봉준호,"송강호,변희봉,박해일,배두나,고아성,오달수,박노식,라미란,고수희,윤제문,김뢰하,고창석,박진우,김학선,신현종,신승리,조덕제,조진영,김창렬,김병훈,이재응,이훈진,정강희,김대근,김효선,김종준,김다영,이왕우,유승목,손진호,권병길,손영순,정인기,최교식,이종윤,김비비,조영규"
337,왕의 남자,2005-12-29,66015355400.0,66015355400.0,10513699.0,10513699.0,313.0,111173.0,한국,(주)시네마서비스,15세이상관람가,드라마,이준익,"감우성,이준기,유해진,정진영,박영수,강성연,이건우,이동수,이동헌,유효정,윤준식,박성호,김주홍,이정민,김윤정,장항선,정석용,신정근,우현,정대용,최일화,윤주상"
338,웰컴 투 동막골,2005-08-04,40328508500.0,40328508500.0,6436508.0,6436508.0,356.0,72108.0,한국,(주)쇼박스,12세관람가,"전쟁,드라마",박광현,"신하균,정재영,강혜정,류덕환,임하룡,강남석,조혜진,손재영,신영철,류창국,김도영,민창기,이화경,최민영,최상순,임은희,박아형,정영기,김찬호,이경애,이다운,김영배,서재경,유승목,조덕현,심원철,리민,이란희,하성광"
339,타짜,2006-09-28,36180800700.0,36180800700.0,5685441.0,5685441.0,492.0,76872.0,한국,CJ ENM,18세관람가,드라마,최동훈,"조승우,김혜수,백윤식,유해진,김응수,김상호,김윤석,주진모,이수경,김정난,조상건,서동수,백도빈,조상원,김의성,서종해,차지은,이석원,윤준호,최영준,오호진,김민경,김진묵,김정현,최재섭,허영만,오정세,김광규,장준녕,최종률,장원영,박명신,박수영,권태원,정인기,김자영"
340,미션 임파서블 3,2006-05-03,32154883400.0,32154883400.0,5127003.0,5127003.0,441.0,72573.0,미국,UIP코리아,15세관람가,액션,J.J. 에이브럼스,"톰 크루즈,필립 세이모어 호프만"
341,투사부일체,2006-01-19,31959686000.0,31959686000.0,5074314.0,5074314.0,407.0,54339.0,한국,CJ ENM,15세관람가,코미디,김동원,"정준호,정웅인,김상중,김응수,임성민,박용식,최윤영,박은비,나현주,김동성,고은영,이배훈,박기연,김성근,유인나,이희석,일호,최선영,박민애,정다은,최영미,이송,최영진,최융환,김지헌,이혁수,춘자,이기열,강성필,장준녕,하동훈,이승연,한효주,최원"
342,가문의 위기(가문의 영광2),2005-09-07,28622355500.0,28622355500.0,4529876.0,4529876.0,351.0,61009.0,한국,(주)쇼박스,15세관람가,코미디,정용기,"신현준,김수미,김원희,최은주,김효진,박은혜,임형준,한재혁,김인욱,이화란,장지영,김재희,장서윤,이미도,공형진,정준하,탁재훈,정호빈,최욱,김해곤,신이"
343,말아톤,2005-01-27,26284943000.0,26284943000.0,4196840.0,4196840.0,238.0,59493.0,한국,(주)쇼박스,전체관람가,드라마,정윤철,"조승우,김미숙,이진영,허자경,석명홍,정철우,이민숙,김장욱,전수지,정미선,정미영,김영아,이창헌,이기영,백성현,안내상,김도영,우기홍"
344,캐리비안의 해적 : 망자의 함,2006-07-06,23832939000.0,23832939000.0,3911617.0,3911617.0,456.0,49636.0,미국,브에나비스타인터내셔널코리아,12세관람가,"액션,코미디,어드벤처,판타지",고어 버빈스키,"조니 뎁,올랜도 블룸"
345,태풍,2005-12-14,22209675300.0,22209675300.0,3471150.0,3471150.0,481.0,47155.0,한국,CJ ENM,15세관람가,"드라마,액션",곽경택,"김혜정,김원진,이정재,이미연,추현경,장동건,허욱,신성일,김형찬,홍의정,김이호,나수원,박태호,김경환,김상용,민성주,민지환,박광설,유승권,박병렬,김철준,이주헌,이성근,최일화,박찬영,데이비드 맥기니스,손병욱,조운"
346,킹콩,2005-12-14,21476052900.0,21476052900.0,3469311.0,3469311.0,319.0,38395.0,미국,UIP코리아,15세관람가,"드라마,어드벤처",피터 잭슨,"잭 블랙,애드리언 브로디,나오미 왓츠"
347,해리 포터와 불의 잔,2005-12-01,21462417400.0,21462417400.0,3430663.0,3430663.0,504.0,43052.0,미국,워너브러더스 코리아(주),12세관람가,"액션,판타지",마이크 뉴웰,"다니엘 래드클리프,루퍼트 그린트,엠마 왓슨,랄프 파인즈,로버트 패틴슨"
348,한반도,2006-07-13,20597497600.0,20597497600.0,3331593.0,3331593.0,483.0,49539.0,한국,CJ ENM,15세관람가,"드라마,액션",강우석,"조재현,안성기,차인표,문성근,김응수,김광일,최종원,최정우,강신일,최창석,서강석,고정은,최동규,김성원,최병권,장문정,최연식,이승철,김영신,이윤주,백일섭,이미도,이한위,박길수,이승호,최일화,이칸희,조민준,권태원,이양희,류제승"
349,미녀는 괴로워,2006-12-14,18919439500.0,18919439500.0,3224865.0,3224865.0,418.0,36689.0,한국,(주)쇼박스,12세이상관람가,"멜로/로맨스,코미디",김용화,"김아중,주진모,김현숙,신미영,김원,조아영,신정원,차원호,원동연,이보라,장재권,전고은,임민승,윤지원,박성용,박성현,오재진,김정만,정명희,오경성,김종태,이혜림,이종필,박노식,김용건,박휘순,이원종,이한위,류승수,정민성,김지석"
350,아일랜드,2005-07-21,20363994500.0,20363994500.0,3218811.0,3218811.0,340.0,35990.0,미국,워너브러더스 코리아(주),12세관람가,"SF,드라마,액션,스릴러",마이클 베이,이완 맥그리거
351,공공의 적 2,2005-01-27,20091127000.0,20091127000.0,3134421.0,3134421.0,299.0,40642.0,한국,(주)시네마서비스,15세관람가,드라마,강우석,"설경구,정준호,유해진,강경덕,박웅,강신일,홍지연,전미애,박태수,남성훈,한재준,서영민,박상욱,최수경,이채은,이미도,변희봉,최정우,김강일,남문철,권태원,원근희"
352,친절한 금자씨,2005-07-29,20483051393.0,20483051393.0,3119682.0,3119682.0,386.0,41438.0,한국,CJ ENM,18세관람가,스릴러,박찬욱,"이영애,최민식,권예영,김시후,남일우,김병옥,오달수,이승신,김부선,라미란,고수희,최정우,송강호,김유정,강남미,이대연,최희진,이병준,이용녀,차순배,박명신"
353,다빈치 코드,2006-05-18,18873057800.0,18873057800.0,3022936.0,3022936.0,514.0,42856.0,미국,소니픽쳐스릴리징코리아,15세관람가,"미스터리,스릴러",론 하워드,"톰 행크스,오드리 토투"
354,미스터 & 미세스 스미스,2005-06-16,18900071500.0,18900071500.0,2963193.0,2963193.0,302.0,45087.0,미국,이십세기폭스필름코퍼레이션,15세관람가,"멜로/로맨스,액션,어드벤처,스릴러",더그 라이만,"안젤리나 졸리,브래드 피트,빈스 본"
355,너는 내 운명,2005-09-23,17653822500.0,17653822500.0,2701244.0,2701244.0,306.0,46674.0,한국,CJ ENM,18세관람가,멜로/로맨스,박진표,"전도연,황정민,나문희,서주희,윤제문,김상호,이민아,임종윤,신수현,정광재,박명규,정영헌,김수연,이경아,이규복,한지원,이미소,고수희,박진우,김학선,오정세,김광규,김부선,정유석,유지연,류승수,김정영,손경원"
356,우주전쟁,2005-07-07,16758594690.0,16758594690.0,2642874.0,2642874.0,401.0,37362.0,미국,UIP코리아,12세관람가,"드라마,액션,SF,스릴러",스티븐 스필버그,"톰 크루즈,저스틴 채트윈,다코타 패닝,미란다 오토"
357,마파도,2005-03-10,16751202503.0,16751202503.0,2636857.0,2636857.0,178.0,49473.0,한국,CJ ENM,15세관람가,코미디,추창민,"김수미,여운계,이정진,이문식,오달수,유해진,홍성훈,최주현,김보리,유인수,김종보,이종윤,서영희,정은표,길해연,정대용,김상호,김정영"
358,가문의 부활 - 가문의 영광3,2006-09-21,15996330400.0,15996330400.0,2598859.0,2598859.0,444.0,51434.0,한국,(주)쇼박스,15세관람가,코미디,정용기,"신현준,김원희,김수미,탁재훈,김도연,김응수,강병조,김홍규,임형준,박영식,백승주,고영식,고영식,권오태,서명석,서명석,서명석,서승인,김경준,민수진,유경미,장지은,이승철,오상만,이한글,공형진,정준하,김용건,김해곤,신이,장준휘,이민웅"
359,우리들의 행복한 시간,2006-09-14,14938308000.0,14938308000.0,2472035.0,2472035.0,414.0,47297.0,한국,(주)프라임엔터테인먼트,15세관람가,드라마,송해성,"강동원,이나영,윤여정,김지영,최정우,조민기,강신일,권오훈,강선아,이훈진,김자영,정연주,지용석,김진희,김종길,이유진,이현배,이재진,오정세,김부선,최욱,정인기,김자영"
360,박물관이 살아있다!,2006-12-21,13344327300.0,13344327300.0,2336453.0,2336453.0,345.0,22483.0,미국,이십세기폭스코리아(주),전체관람가,"코미디,어드벤처",숀 레비,"벤 스틸러,로빈 윌리엄스"
361,포세이돈,2006-05-31,14588094300.0,14588094300.0,2316695.0,2316695.0,338.0,43841.0,미국,워너브러더스 코리아(주),12세관람가,"액션,드라마,스릴러",볼프강 페터젠,"커트 러셀,조쉬 루카스"
362,음란서생,2006-02-23,14944528700.0,14944528700.0,2304365.0,2304365.0,347.0,38964.0,한국,CJ ENM,18세관람가,"사극,코미디",김대우,"한석규,이범수,김민정,오달수,김뢰하,안내상,김기현,우현,김병옥,진경,홍의정,조영호,나미란,임효우,전충룡,서명석,유지혜,권순규,김창영,오권열,라미란,최명수,최종률,김강일,이순재,오태경,정인기,최교식"
363,내 생애 가장 아름다운 일주일,2005-10-07,14710541000.0,14710541000.0,2290709.0,2290709.0,296.0,41058.0,한국,CJ ENM,15세관람가,멜로/로맨스,민규동,"황정민,엄정화,김유정,김윤석,진태현,임창정,정경호,최원석,김수로,정혜영,조상철,김민섭,박준석,전성호,한상훈,서성종,김다인,김도민,유근희,김성래,최민규,전창훈,박상현,임이랑,이주리,김승원,이진호,이은희,이현,이현규,서영희,박진우,우현,주현,정경호,조희봉,이세영,류승수"
364,"나니아 연대기-사자,마녀 그리고 옷장",2005-12-29,13232104500.0,13232104500.0,2168487.0,2168487.0,275.0,29761.0,미국,브에나비스타인터내셔널코리아,전체관람가,"가족,어드벤처,판타지",앤드류 아담슨,"조지 헨리,스캔더 킨즈"
365,"달콤, 살벌한 연인",2006-04-06,13426707100.0,13426707100.0,2077590.0,2077590.0,246.0,38034.0,한국,CJ ENM,18세관람가,"스릴러,멜로/로맨스",손재곤,"박용우,최강희,정경호,박준오,이광우,김권태,유주희,윤혜진,오유진,조은지,선우선,김기천,조영규"
366,박수칠 때 떠나라,2005-08-11,13181626500.0,13181626500.0,2073641.0,2073641.0,237.0,32149.0,한국,(주)시네마서비스,15세관람가,"드라마,코미디,미스터리",장진,"차승원,신하균,김지수,박정아,박은주,조정진,인정주,정규수,임미연,정영호,윤진호,이태상,이해영,이형곤,정동환,장소연,장영남,이철민,이한위,황정민"
367,광식이 동생 광태,2005-11-23,12811265009.0,12811265009.0,2024818.0,2024818.0,276.0,35769.0,한국,(주)엠케이픽처스,15세관람가,코미디,김현석,"김주혁,봉태규,이요원,김아중,정경호,최은정,민도기,김성훈,김효주,김형민,유정민,박선민,이대연,박철민"
368,맨발의 기봉이,2006-04-26,12239242400.0,12239242400.0,2005180.0,2005180.0,271.0,39975.0,한국,(주)쇼박스,전체관람가,"드라마,코미디,가족",권수경,"신현준,김수미,김효진,오수현,정구영,강낙호,최진용,김현경,박상희,최양락,이정주,임하룡,조덕현,탁재훈,지대한,권병길"
369,혈의 누,2005-05-04,12367486506.0,12367486506.0,1926592.0,1926592.0,264.0,35167.0,한국,(주)시네마서비스,18세관람가,스릴러,김대승,"차승원,박용우,지성,윤세아,최종원,박철민,유해진,박충선,장석원,서상원,임종윤,정진오,천호진,오현경,권태원,김기천"
370,댄서의 순정,2005-04-28,11674131000.0,11674131000.0,1856759.0,1856759.0,240.0,36482.0,한국,쇼이스트(주),12세관람가,드라마,박영훈,"박건형,김은경,문근영,김지영,임진승,최진석,박현규,김병일,류지원,이혜정,김인희,이정희,이대연,우기홍,정인기"
371,작업의 정석,2005-12-21,11706585100.0,11706585100.0,1853623.0,1853623.0,260.0,28423.0,한국,(주)쇼박스,15세관람가,코미디,오기환,"손예진,송일국,김애경,박용우,안선영,박준규,신주연,신준하,서민희,고재욱,윤영준,정민호,박준규,우현,금보라,강두,정성일"
372,비열한 거리,2006-06-15,11664597600.0,11664597600.0,1829887.0,1829887.0,306.0,34064.0,한국,CJ ENM,18세관람가,"액션,범죄,드라마",유하,"조인성,천호진,김원진,남궁민,이보영,진구,윤제문,선우은숙,이종혁,김효선,신윤철,박효준,조진웅,문성혁,조진철,박유민,안용우,장보경,박진성,김광수,김상식,박경민,홍의정,김필수,윤소영,박민우,박병렬,전경수,임미경,정미소,박세환,임정우,김철준,정재은,오기환,김정한,서민경,김병춘,김영필,이신성,이양희,류성현,이정민,신유람,박혁민,조운,이현우"
373,엑스맨 : 최후의 전쟁,2006-06-15,11275475200.0,11275475200.0,1793310.0,1793310.0,373.0,38570.0,미국,이십세기폭스코리아(주),12세관람가,"SF,액션",브렛 래트너,"휴 잭맨,할리 베리,이안 맥켈런"
374,콘스탄틴,2005-02-08,11164582000.0,11164582000.0,1736163.0,1736163.0,177.0,26430.0,미국,워너브러더스 코리아(주),15세관람가,"드라마,액션,스릴러,판타지",프란시스 로렌스,"키아누 리브스,레이첼 와이즈,시아 라뵈프"
375,사생결단,2006-04-27,10934307100.0,10934307100.0,1724709.0,1724709.0,288.0,33257.0,한국,(주)씨제이이엔엠,18세관람가,액션,최호,"류승범,황정민,이수현,김혜정,박영수,추자현,민도기,신영주,김훈희,조원식,박정률,김의석,임효우,변미선,김근형,김성기,김인식,박병철,장진호,전성길,이성만,염지선,양진철,양정렬,정우,이얼,신정근,최진호,유재명,장준녕,김영웅"
376,수퍼맨 리턴즈,2006-06-28,10825645300.0,10825645300.0,1702765.0,1702765.0,366.0,29982.0,미국,워너브러더스 코리아(주),전체관람가,"SF,액션,판타지",브라이언 싱어,"브랜든 루스,케빈 스페이시"
377,구세주,2006-02-16,10087308700.0,10087308700.0,1621131.0,1621131.0,206.0,31939.0,한국,쇼이스트(주),15세관람가,"코미디,액션,멜로/로맨스",김정우,"최성국,신이,김수미,박준규,이상현,강민서,김장호,장정미,김영휘,조승연,백일섭,이원종,신정근,김광규,김부선,주석태"
378,라디오 스타,2006-09-28,9860721500.0,9860721500.0,1590666.0,1590666.0,244.0,38926.0,한국,(주)시네마서비스,12세관람가,드라마,이준익,"박중훈,안성기,김현아,강광원,함수연,손덕배,허민희,조련,최정윤,황인준,나성식,황현성,노브레인,정원호,이순금,이준익,이재은,정석용,신정근,김장훈,윤주상,안미나"
379,청춘만화,2006-03-23,9785168000.0,9785168000.0,1567514.0,1567514.0,298.0,32939.0,한국,(주)쇼박스,12세관람가,"코미디,멜로/로맨스",이한,"권상우,김하늘,이상우,강기화,김효경,홍수연,김희숙,박정섭,최현경,박진아,서지은,김광태,원진,김선웅,임혜진,박상원,임재강,박승범,최영주,정승혜,임희재,이영철,이경진,장미인애,조덕제,이영란,최종률,정강희"
380,흡혈형사 나도열,2006-02-09,9693558300.0,9693558300.0,1563579.0,1563579.0,243.0,30494.0,한국,(주)쇼박스,15세관람가,"코미디,드라마",이시명,"김수로,조여정,김은경,최윤경,이동은,윤신애,백민정,이민아,박영수,김혜연,박은영,나윤주,고미숙,유희정,손병호,김인문,진용욱,손석배,정종열"
381,잠복근무,2005-03-17,9590663500.0,9590663500.0,1533225.0,1533225.0,214.0,32277.0,한국,(주)쇼박스,15세관람가,"코미디,액션",박광춘,"김원진,공유,김선아,하정우,이범수,남상미,강경희,김회근,신경하,김명조,홍수아,박우규,김현진,황의천,나상문,남경화,조한영,진수애,김덕겸,최미진,장지영,박상현,윤지원,정은미,양은성,김종명,안형준,김지숙,김지우,김상호,박상면,김선영,정만식"
382,연애의 목적,2005-06-10,9846423390.0,9846423390.0,1524898.0,1524898.0,243.0,29871.0,한국,CJ ENM,18세관람가,"드라마,코미디,멜로/로맨스",한재림,"강혜정,박해일,이대연,박그리나,이현정,박준명,박혜영,김기형,장준영,이은숙,박진우,서영화,우기홍,김자영"
383,하울의 움직이는 성,2004-12-23,9123480000.0,15142704000.0,1466560.0,2432357.0,183.0,22303.0,일본,"(주)이수C&E,(주)시네마서비스",전체관람가,애니메이션,미야자키 하야오,"바이쇼 치에코,기무라 다쿠야"
384,스타워즈 에피소드3 - 시스의복수,2005-05-26,9325891000.0,9325891000.0,1464792.0,1464792.0,272.0,28465.0,미국,이십세기폭스필름코퍼레이션,전체관람가,SF,조지 루카스,"이완 맥그리거,헤이든 크리스텐슨,나탈리 포트만"
385,주먹이 운다(Crying Fist),2005-04-01,9322812000.0,9322812000.0,1462972.0,1462972.0,249.0,32964.0,한국,쇼이스트(주),15세관람가,드라마,류승완,"최민식,류승범,임원희,변희봉,나문희,기주봉,오달수,심재원,권용덕,서혜린(정희숙),정민혁,김영인,이윤선,이정현,김병옥,안길강,천호진,김성훈,이원석,박대희,김지훈,김수현,이태준,김효정,김효선,황재근,양민석,이도겸,박준면,정인기,김기천"
386,거룩한 계보,2006-10-19,8759204600.0,8759204600.0,1433696.0,1433696.0,372.0,32111.0,한국,CJ ENM,15세관람가,"드라마,액션",장진,"정재영,정준호,김성훈,김상일,주진모,박용민,김향배,박지형,장아람,김광현,김규철,김도희,김성진,임도영,정용수,이승영,오창렬,이영준,이정,장영남,이철민,이한위,이해영,윤유선,이상훈"
387,마다가스카,2005-07-14,8655327500.0,8655327500.0,1391221.0,1391221.0,298.0,30109.0,미국,CJ ENM,전체관람가,"애니메이션,코미디,어드벤처","에릭 다넬,톰 맥그라스",벤 스틸러
388,악마는 프라다를 입는다,2006-10-25,8286577600.0,8286577600.0,1366933.0,1366933.0,209.0,31230.0,미국,"(주)퍼스트런,글뫼 주식회사,이십세기폭스코리아(주)",12세관람가,드라마,데이빗 프랭클,"메릴 스트립,앤 해서웨이"
389,야수와 미녀,2005-10-27,8378297000.0,8378297000.0,1339833.0,1339833.0,202.0,29108.0,한국,(주)쇼박스,12세관람가,코미디,이계벽,"류승범,신민아,김강우,허명행,손정민,송민석,김원중,조주현,안성진,서승억,차재선,박근석,박대희,윤종신,이홍표,권성환,최인경,김주일,이정필,김병옥,함은정,안길강,유다인"
390,간 큰 가족,2005-06-09,8212961893.0,8212961893.0,1305518.0,1305518.0,247.0,31517.0,한국,(주)쇼박스,12세관람가,코미디,조명남,"감우성,김수미,김수로,김도연,조용희,김기철,김길라,정현우,유장식,최성용,김영희,김용완,성지루,전국환,신이,박충선,김태곤,이칸희,최교식,정희태,오창경"
