■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2021-07-23,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2015-01-01~2016-12-31   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
19,덕혜옹주,2016-08-03,"44,393,828,109",1.30%,"44,393,828,109","5,599,229","5,599,229",964,"97,312",한국,한국,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"사극,드라마",허진호,"손예진,박해일,윤제문,라미란,정상훈,박수영,김소현,박주미,안내상,김재욱,김인우,백윤식,김대명,김정희,박윤식,박지수,박혜영,송민수,송창현,신동주,오세영,이경훈,이명규,이상진,이승진,최영빈,최일순,최정순,한동훈,함성원,홍은지,김무규,김기정,차지원,고수,금새록,김승훈,김기천,곽자형,김나연,신정섭,김용호"
20,쥬라기 월드,2015-06-11,"47,800,698,826",1.40%,"47,800,698,826","5,546,792","5,546,792","1,290","118,959",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,SF",콜린 트레보로우,"크리스 프랫,주디 그리어,브라이스 달라스 하워드,케이티 맥그라스,제이크 존슨,빈센트 도노프리오"
21,닥터 스트레인지,2016-10-26,"47,481,830,396",1.40%,"47,481,830,396","5,446,239","5,446,239","1,503","162,856",미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,어드벤처,판타지",스콧 데릭슨,"베네딕트 컴버배치,자라 피티안,레이첼 맥아담스,틸다 스윈튼,매즈 미켈슨,치웨텔 에지오포,스콧 앳킨스,마이클 스털버그,베네딕트 웡"
22,검은 사제들,2015-11-05,"42,408,588,092",1.20%,"42,408,588,092","5,442,709","5,442,709","1,109","131,173",한국,한국,영화사 집,(주)씨제이이엔엠,15세이상관람가,"미스터리,드라마",장재현,"김윤석,강동원,박소담,김병옥,김의성,이호재,남일우,김동현,김미영,김혜민,박지수,송선찬,이상민,이승훈,이현우,손종학,조수향,남문철,김수진,민진웅"
23,인사이드 아웃,2015-07-09,"38,024,694,936",1.10%,"38,024,694,936","4,969,735","4,969,735",931,"84,000",미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,코미디",피트 닥터,"다이안 레인,에이미 포엘러,카일 맥라클란,민디 캘링,빌 헤이더"
24,마스터,2016-12-21,"39,784,641,065",1.20%,"39,784,641,065","4,935,320","4,935,320","1,501","70,786",한국,한국,영화사 집,(주)씨제이이엔엠,15세이상관람가,"액션,범죄",조의석,"이병헌,강동원,김우빈,엄지원,박해수,오달수,진경,김정우,장한별,이승용,김대현,홍성덕,우도환,배정남,조현철,정원중,주석태,송영학,이도국,김태훈,강지혜"
25,마션,2015-10-08,"39,672,140,595",1.10%,"39,672,140,595","4,881,865","4,881,865","1,132","114,225",미국,미국,,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",12세이상관람가,"액션,어드벤처,SF",리들리 스콧,"맷 데이먼,제시카 차스테인,제프 다니엘스,케이트 마라,크리스틴 위그"
26,주토피아,2016-02-17,"37,096,057,742",1.10%,"37,096,057,742","4,706,158","4,706,158",735,"131,005",미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,액션,어드벤처","바이론 하워드,리치 무어","지니퍼 굿윈,제이슨 베이트먼,샤키라"
27,신비한 동물사전,2016-11-16,"39,300,515,858",1.10%,"39,300,515,858","4,662,534","4,662,534","1,431","115,676",미국,"미국,영국",,워너브러더스 코리아(주),12세이상관람가,"어드벤처,가족,판타지",데이빗 예이츠,"에디 레드메인,콜린 파렐,캐서린 워터스턴,앨리슨 수돌,댄 포글러,사만다 모튼,젠 머레이"
28,판도라,2016-12-07,"33,955,398,164",1.00%,"33,955,398,164","4,313,864","4,313,864","1,184","90,758",한국,한국,(주)씨에이씨엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,스릴러",박정우,"김남길,안대겸,김영애,문정희,송영재,정진영,이경영,강신일,김대명,유승목,김주현,김명민,김동우,김선형,김승배,김영준,김재민,김정훈,김태영,김태현,김태훈,박기태,박선희,박준영,이경재,최우성,공정환,강민,지현준,주석태,정종열,송철호,김영웅,김태훈"
29,아가씨,2016-06-01,"35,211,229,991",1.00%,"35,211,229,991","4,287,839","4,287,839","1,171","90,365",한국,한국,"유한회사 아가씨에프에스,(주)모호필름,(주)용필름",(주)씨제이이엔엠,청소년관람불가,"스릴러,드라마",박찬욱,"김민희,김태리,하정우,조진웅,김해숙,문소리,최병모,김인우,이용녀,조은형,장한순,이규정,이승준,이윤재,김시은,안성봉,박기륭,원근희,정인겸"
30,쿵푸팬더3,2016-01-28,"31,340,798,156",0.90%,"31,340,798,156","3,984,812","3,984,812","1,365","97,404",미국,미국,드림웍스 애니메이션,(주)씨제이이엔엠,전체관람가,"애니메이션,액션,어드벤처","여인영,알레산드로 칼로니","잭 블랙,안젤리나 졸리,더스틴 호프만,성룡,세스 로건,루시 리우,데이빗 크로스,J.K. 시몬스"
31,매드 맥스: 분노의 도로,2015-05-14,"33,385,967,362",1.00%,"33,385,967,362","3,883,598","3,883,598",799,"101,104",미국,"미국,호주",,워너브러더스 코리아(주),15세이상관람가,"액션,어드벤처,스릴러",조지 밀러,"톰 하디,샤를리즈 테론,니콜라스 홀트,휴 키즈 바인,조 크라비츠,로지 헌팅턴-휘틀리,라일리 코프,메간 게일,애비 리,코트니 이튼"
32,조선명탐정 : 사라진 놉의 딸,2015-02-11,"30,456,879,428",0.90%,"30,456,879,428","3,872,015","3,872,015",825,"80,499",한국,한국,청년필름(주),(주)쇼박스,12세이상관람가,"사극,코미디,어드벤처",김석윤,"김명민,오달수,이연희,강다현,전건익,정명철,박지선,배영민,정혜은,조관우,조명행,최지명,송병철,김나현,이경용,이귀현,이낙준,한대룡,이선도,이성동,이용우,김태환,정원중,남윤나,류광일,류현상,최무성,김원해,우현,황정민,이정은,박수영,권범택,현우"
33,인턴,2015-09-24,"28,522,202,348",0.80%,"28,522,202,348","3,611,166","3,611,166",659,"81,589",미국,미국,,워너브러더스 코리아(주),12세이상관람가,코미디,낸시 마이어스,"앤 해서웨이,로버트 드 니로,르네 루소,냇 울프,아담 드바인,앤드류 라넬스"
34,귀향,2016-02-24,"27,249,738,990",0.80%,"27,249,738,990","3,587,173","3,587,173",876,"90,286",한국,한국,주식회사 제이오엔터테인먼트코리아,(주)와우픽쳐스,15세이상관람가,드라마,조정래,"손숙,강하나,서미지,최리,정인기,오지혜,김시은,이채현,임성철,임혜영,박주현,박지희,박진경,장현익,정광윤,정부경,정승현,안재성,이경훈,이민영,이선희,이수현,이승현,이여원,김완기,김은나,정무성,류신,윤정로"
35,데드풀,2016-02-17,"27,595,618,651",0.80%,"27,595,618,651","3,317,196","3,317,196","1,036","82,521",미국,미국,,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",청소년관람불가,"액션,SF",팀 밀러,"라이언 레이놀즈,모레나 바카린,에드 스크레인,지나 카라노,T.J. 밀러,브리아나 힐데브란드"
36,스타워즈: 깨어난 포스,2015-12-17,"28,353,796,331",0.80%,"28,353,796,331","3,273,879","3,273,879",940,"69,226",미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,어드벤처,판타지",J.J. 에이브럼스,"해리슨 포드,마크 해밀,캐리 피셔,사이먼 페그,오스카 아이삭,막스 본 시도우,도널 글리슨"
37,분노의 질주: 더 세븐,2015-04-01,"26,454,098,694",0.80%,"26,454,098,694","3,247,955","3,247,955",983,"93,612",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,범죄,스릴러",제임스 완,"빈 디젤,폴 워커,드웨인 존슨,제이슨 스타뎀"
38,터미네이터 제니시스,2015-07-02,"26,556,715,129",0.80%,"26,556,715,129","3,240,370","3,240,370","1,113","77,590",미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,어드벤처,SF,스릴러",앨런 테일러,"아놀드 슈왈제네거,제이슨 클락,에밀리아 클라크,제이 코트니,J.K. 시몬스,다요 오케니이,맷 스미스,코트니 B. 반스,이병헌,아론 V. 윌리엄슨"
39,나우 유 씨 미 2,2016-07-13,"25,116,690,113",0.70%,"25,116,690,113","3,100,113","3,100,113","1,200","56,981",미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"범죄,액션",존 추,"제시 아이젠버그,마크 러팔로,우디 해럴슨,데이브 프랑코,다니엘 래드클리프,리지 캐플란,주걸륜,마이클 케인,모건 프리먼"
40,스물,2015-03-25,"23,563,705,686",0.70%,"23,563,705,686","3,044,859","3,044,859",926,"100,167",한국,한국,"(주)영화나무,(주)아이에이치큐",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,드라마",이병헌,"김우빈,이준호,강하늘,정덕희,주창욱,권지훈,오하늬,오현경,이성두,정소민,안재홍,이유비,김의성,김종수,민지,황미영,서호철,박명신,양현민,허준석,한준우,백수희,차민지,정주연,홍완표,곽진석"
41,형,2016-11-23,"23,113,768,293",0.70%,"23,113,768,293","2,979,659","2,979,659",993,"83,518",한국,한국,굿초이스컷픽쳐스(주),(주)씨제이이엔엠,12세이상관람가,"코미디,드라마",권수경,"조정석,도경수,박신혜,권지훈,김승아,김진희,이연수,강두,정지훈,손산,김강현,권범택"
42,엑스맨: 아포칼립스,2016-05-25,"24,467,887,950",0.70%,"24,467,887,950","2,938,818","2,938,818","1,262","66,471",미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,어드벤처,판타지,SF",브라이언 싱어,"제임스 맥어보이,마이클 패스벤더,제니퍼 로렌스,오스카 아이삭,니콜라스 홀트,로즈 번,타이 쉐리던,소피 터너,올리비아 문,루카스 틸"
43,극비수사,2015-06-18,"22,389,535,897",0.60%,"22,389,535,897","2,860,786","2,860,786",894,"66,211",한국,한국,"(주)제이콘컴퍼니,(주)영화사 신세계",(주)쇼박스,15세이상관람가,"드라마,범죄",곽경택,"김윤석,유해진,송영창,장영남,정호빈,이준혁,이종일,장성훈,정규용,정기용,백승호,이효제,최원,송승현,신유경,양중경,유주영,홍명기,이석현,이소영,이승준,이윤희,이인규,주영호,박효주,이재용,남문철,황성준,조민준,장지건,현봉식,김태훈,천명재,이언수"
44,앤트맨,2015-09-03,"23,529,209,937",0.70%,"23,529,209,937","2,841,795","2,841,795",949,"74,649",미국,"미국,영국",,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,SF",페이튼 리드,"폴 러드,마이클 더글라스,에반젤린 릴리,코리 스톨"
45,빅 히어로,2015-01-21,"21,993,119,765",0.60%,"21,993,119,765","2,801,949","2,801,949",825,"62,230",미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,액션,코미디","돈 홀,크리스 윌리암스","라이언 포터,스콧 애짓,다니엘 헤니,제이미 정,T.J. 밀러,제네시스 로드리게스,데이몬 웨이언스 주니어,마야 루돌프,제임스 크롬웰,알란 터딕"
46,메이즈 러너: 스코치 트라이얼,2015-09-16,"21,596,946,349",0.60%,"21,596,946,349","2,744,413","2,744,413",804,"58,725",미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,SF,스릴러",웨스 볼,"딜런 오브라이언,토마스 생스터,카야 스코델라리오,이기홍"
47,미스 페레그린과 이상한 아이들의 집,2016-09-28,"21,841,214,586",0.60%,"21,841,214,586","2,718,158","2,718,158",904,"70,451",미국,"미국,벨기에,영국",,이십세기폭스코리아(주),12세이상관람가,"미스터리,판타지",팀 버튼,"에바 그린,사무엘 L. 잭슨,에이사 버터필드,앨리슨 제니,킴 디킨스,주디 덴치,크리스 오다우드"
48,탐정 : 더 비기닝,2015-09-24,"20,463,956,973",0.60%,"20,463,956,973","2,625,686","2,625,686",764,"54,995",한국,한국,(주)크리픽쳐스,(주)씨제이이엔엠,15세이상관람가,"코미디,범죄",김정훈,"권상우,성동일,박해준,이승준,조복래,오정세,박준면,이일화,서영희,강민지,홍서현,천유나,차승연,정종훈,정승연,이현기,이찬희,김승배,김은지,김하늘,김희영,모일영,박민철,박성일,박시영,박지혜,최성원,홍은택,이해영,지대한,진용욱,한창현,민무제,윤경호,김태훈"
49,미니언즈,2015-07-29,"18,998,046,278",0.50%,"18,998,046,278","2,625,599","2,625,599",792,"41,946",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,"피에르 꼬팽,카일 발다","산드라 블록,존 햄,마이클 키튼"
50,제이슨 본,2016-07-27,"21,253,434,663",0.60%,"21,253,434,663","2,611,966","2,611,966",827,"39,806",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,스릴러",폴 그린그래스,"맷 데이먼,줄리아 스타일즈,토미 리 존스,뱅상 카셀,알리시아 비칸데르"
51,도리를 찾아서,2016-07-06,"20,703,899,933",0.60%,"20,703,899,933","2,601,734","2,601,734","1,091","55,110",미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,어드벤처,코미디",앤드류 스탠튼,"엘렌 드제너스,알버트 브룩스,다이안 키튼"
52,아수라,2016-09-28,"20,576,226,662",0.60%,"20,576,226,662","2,594,028","2,594,028","1,278","68,040",한국,한국,(주)사나이픽처스,(주)씨제이이엔엠,청소년관람불가,"범죄,액션",김성수,"정우성,김현빈,황정민,주지훈,곽도원,정만식,김원해,김종수,김해곤,윤지혜,오연아,윤제문,이종성,장근영,박지환,손영진,양영일,윤성민,이가경,이광기,이상민,채성원,김남조,노남석,박갑진,김수진,염동헌,차래형,현봉식,최병모,이육헌,임용순,유정호,곽진석,박혁민,황재필"
53,정글북,2016-06-09,"21,517,647,134",0.60%,"21,517,647,134","2,537,438","2,537,438",924,"59,041",미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"어드벤처,드라마",존 파브로,"닐 세티,빌 머레이,스칼렛 요한슨,벤 킹슬리,이드리스 엘바,루피타 뇽,크리스토퍼 월켄,지안카를로 에스포지토"
54,마이펫의 이중생활,2016-08-03,"19,406,436,655",0.60%,"19,406,436,655","2,520,670","2,520,670",726,"39,653",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"애니메이션,코미디,가족",크리스 리노드,"스티브 쿠건,엘리 켐퍼,레이크 벨,데이너 카비,케빈 하트"
55,라라랜드,2016-12-07,"19,996,139,232",0.60%,"19,996,139,232","2,385,108","2,385,108",727,"56,408",미국,미국,,판씨네마(주),12세이상관람가,"드라마,뮤지컬,멜로/로맨스",데이미언 셔젤,"엠마 스톤,라이언 고슬링,핀 위트록,J.K. 시몬스,로즈마리 드윗"
56,스파이,2015-05-21,"18,417,637,358",0.50%,"18,417,637,358","2,318,748","2,318,748",665,"62,960",미국,미국,,이십세기폭스코리아(주),15세이상관람가,"액션,코미디",폴 페이그,"주드 로,제이슨 스타뎀,멜리사 맥카시"
57,배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,"18,906,246,428",0.50%,"18,906,246,428","2,256,913","2,256,913","1,709","95,669",미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처,판타지",잭 스나이더,"헨리 카빌,벤 애플렉,에이미 아담스,로렌스 피쉬번,제시 아이젠버그,제레미 아이언스,홀리 헌터,갤 가돗"
58,악의 연대기,2015-05-14,"17,361,815,332",0.50%,"17,361,815,332","2,192,525","2,192,525",776,"64,351",한국,한국,(주)비에이엔터테인먼트,(주)씨제이이엔엠,15세이상관람가,스릴러,백운학,"손현주,마동석,최다니엘,박서준,이준혁,이태호,이현우,강민정,조은수,서정우,최동헌,안용우,이명준,이성재,이용희,이은정,정원중,지대한,장준녕,정준원,한성천,배진웅,송훈"
59,강남 1970,2015-01-21,"17,718,699,499",0.50%,"17,718,699,499","2,192,276","2,192,276",841,"53,304",한국,한국,"(주)모베라픽처스,(주)쇼박스",(주)쇼박스,청소년관람불가,"액션,드라마",유하,"이민호,김래원,정진영,설현,유승목,한재영,이연두,정호빈,최진호,엄효섭,최병모,지대한,전배수,윤종화,서우진,이인혁,이정완,이주협,박소희,박시연,이한울,임성숙,장준혁,전우재,강풍,박재영,박재희,박준영,정영택,백동현,정창용,조선기,서현석,천영암,손재영,주연서,신영규,양진석,오형근,윤지원,이규석,김원진,이성용,이성준,이세훈,황재진,이원희,이은주,안정우,정진영,김지수,곽민호,이가경,한준우,이성우,임용순,박기륭,유정호,신유람,박태산,남진복,박혁민,서병철"
60,굿바이 싱글,2016-06-29,"16,912,706,195",0.50%,"16,912,706,195","2,108,273","2,108,273",841,"56,380",한국,한국,"호두앤유 엔터테인먼트(주),(주)영화사람",(주)쇼박스,15세이상관람가,"코미디,드라마",김태곤,"김혜수,마동석,김현수,김용건,서현진,곽시양,전석호,이미도,이성민,황미영,이형미,박지영,정준화,유성진,윤환,이수경,최문석,홍민희,김근영,안재홍,황승언,김고은,목규리,이선빈,배유람,정원중,강찬희,송철호,임영우"
61,내부자들: 디 오리지널,2015-12-31,"16,979,714,975",0.50%,"16,979,714,975","2,084,868","2,084,868",838,"47,237",한국,한국,(유)내부자들 문화전문회사,(주)쇼박스,청소년관람불가,"범죄,드라마",우민호,"신지수,이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,박진우,남일우,김의성,손종학,조덕제,유재명,권태원,강신철,정민성,박성근,이문석,이동진"
